"","Store","IsHoliday","Weekly_Sales","Temperature","Fuel_Price","CPI","Unemployment","Type","Size","week_of_year","month_of_year","year"
"1",1,FALSE,24924.5,42.31,2.572,211.0963582,8.106,"A",151315,6,2,2010
"2",1,TRUE,46039.49,38.51,2.548,211.2421698,8.106,"A",151315,7,2,2010
"3",1,FALSE,41595.55,39.93,2.514,211.2891429,8.106,"A",151315,8,2,2010
"4",1,FALSE,19403.54,46.63,2.561,211.3196429,8.106,"A",151315,9,2,2010
"5",1,FALSE,21827.9,46.5,2.625,211.3501429,8.106,"A",151315,10,3,2010
"6",1,FALSE,21043.39,57.79,2.667,211.3806429,8.106,"A",151315,11,3,2010
"7",1,FALSE,22136.64,54.58,2.72,211.215635,8.106,"A",151315,12,3,2010
"8",1,FALSE,26229.21,51.45,2.732,211.0180424,8.106,"A",151315,13,3,2010
"9",1,FALSE,57258.43,62.27,2.719,210.8204499,7.808,"A",151315,14,4,2010
"10",1,FALSE,42960.91,65.86,2.77,210.6228574,7.808,"A",151315,15,4,2010
"11",1,FALSE,17596.96,66.32,2.808,210.4887,7.808,"A",151315,16,4,2010
"12",1,FALSE,16145.35,64.84,2.795,210.4391228,7.808,"A",151315,17,4,2010
"13",1,FALSE,16555.11,67.41,2.78,210.3895456,7.808,"A",151315,18,4,2010
"14",1,FALSE,17413.94,72.55,2.835,210.3399684,7.808,"A",151315,19,5,2010
"15",1,FALSE,18926.74,74.78,2.854,210.3374261,7.808,"A",151315,20,5,2010
"16",1,FALSE,14773.04,76.44,2.826,210.6170934,7.808,"A",151315,21,5,2010
"17",1,FALSE,15580.43,80.44,2.759,210.8967606,7.808,"A",151315,22,5,2010
"18",1,FALSE,17558.09,80.69,2.705,211.1764278,7.808,"A",151315,23,6,2010
"19",1,FALSE,16637.62,80.43,2.668,211.4560951,7.808,"A",151315,24,6,2010
"20",1,FALSE,16216.27,84.11,2.637,211.4537719,7.808,"A",151315,25,6,2010
"21",1,FALSE,16328.72,84.34,2.653,211.3386526,7.808,"A",151315,26,6,2010
"22",1,FALSE,16333.14,80.91,2.669,211.2235333,7.787,"A",151315,27,7,2010
"23",1,FALSE,17688.76,80.48,2.642,211.108414,7.787,"A",151315,28,7,2010
"24",1,FALSE,17150.84,83.15,2.623,211.1003854,7.787,"A",151315,29,7,2010
"25",1,FALSE,15360.45,83.36,2.608,211.2351443,7.787,"A",151315,30,7,2010
"26",1,FALSE,15381.82,81.84,2.64,211.3699032,7.787,"A",151315,31,7,2010
"27",1,FALSE,17508.41,87.16,2.627,211.5046621,7.787,"A",151315,32,8,2010
"28",1,FALSE,15536.4,87,2.692,211.6394211,7.787,"A",151315,33,8,2010
"29",1,FALSE,15740.13,86.65,2.664,211.6033633,7.787,"A",151315,34,8,2010
"30",1,FALSE,15793.87,85.22,2.619,211.5673056,7.787,"A",151315,35,8,2010
"31",1,FALSE,16241.78,81.21,2.577,211.5312479,7.787,"A",151315,36,9,2010
"32",1,TRUE,18194.74,78.69,2.565,211.4951902,7.787,"A",151315,37,9,2010
"33",1,FALSE,19354.23,82.11,2.582,211.5224596,7.787,"A",151315,38,9,2010
"34",1,FALSE,18122.52,80.94,2.624,211.5972246,7.787,"A",151315,39,9,2010
"35",1,FALSE,20094.19,71.89,2.603,211.6719895,7.838,"A",151315,40,10,2010
"36",1,FALSE,23388.03,63.93,2.633,211.7467544,7.838,"A",151315,41,10,2010
"37",1,FALSE,26978.34,67.18,2.72,211.8137436,7.838,"A",151315,42,10,2010
"38",1,FALSE,25543.04,69.86,2.725,211.8612937,7.838,"A",151315,43,10,2010
"39",1,FALSE,38640.93,69.64,2.716,211.9088438,7.838,"A",151315,44,10,2010
"40",1,FALSE,34238.88,58.74,2.689,211.9563939,7.838,"A",151315,45,11,2010
"41",1,FALSE,19549.39,59.61,2.728,212.003944,7.838,"A",151315,46,11,2010
"42",1,FALSE,19552.84,51.41,2.771,211.8896737,7.838,"A",151315,47,11,2010
"43",1,TRUE,18820.29,64.52,2.735,211.7484333,7.838,"A",151315,48,11,2010
"44",1,FALSE,22517.56,49.27,2.708,211.607193,7.838,"A",151315,49,12,2010
"45",1,FALSE,31497.65,46.33,2.843,211.4659526,7.838,"A",151315,50,12,2010
"46",1,FALSE,44912.86,49.84,2.869,211.4053124,7.838,"A",151315,51,12,2010
"47",1,FALSE,55931.23,52.33,2.886,211.4051222,7.838,"A",151315,52,12,2010
"48",1,TRUE,19124.58,48.43,2.943,211.4049321,7.838,"A",151315,53,12,2010
"49",1,FALSE,15984.24,48.27,2.976,211.4047419,7.742,"A",151315,1,1,2011
"50",1,FALSE,17359.7,35.4,2.983,211.4574109,7.742,"A",151315,2,1,2011
"51",1,FALSE,17341.47,44.04,3.016,211.8272343,7.742,"A",151315,3,1,2011
"52",1,FALSE,18461.18,43.83,3.01,212.1970577,7.742,"A",151315,4,1,2011
"53",1,FALSE,21665.76,42.27,2.989,212.5668812,7.742,"A",151315,5,2,2011
"54",1,TRUE,37887.17,36.39,3.022,212.9367046,7.742,"A",151315,6,2,2011
"55",1,FALSE,46845.87,57.36,3.045,213.2478853,7.742,"A",151315,7,2,2011
"56",1,FALSE,19363.83,62.9,3.065,213.535609,7.742,"A",151315,8,2,2011
"57",1,FALSE,20327.61,59.58,3.288,213.8233327,7.742,"A",151315,9,3,2011
"58",1,FALSE,21280.4,53.56,3.459,214.1110564,7.742,"A",151315,10,3,2011
"59",1,FALSE,20334.23,62.76,3.488,214.3627114,7.742,"A",151315,11,3,2011
"60",1,FALSE,20881.1,69.97,3.473,214.5999389,7.742,"A",151315,12,3,2011
"61",1,FALSE,20398.09,59.17,3.524,214.8371664,7.682,"A",151315,13,4,2011
"62",1,FALSE,23873.79,67.84,3.622,215.0743939,7.682,"A",151315,14,4,2011
"63",1,FALSE,28762.37,71.27,3.743,215.2918561,7.682,"A",151315,15,4,2011
"64",1,FALSE,50510.31,72.99,3.807,215.4599053,7.682,"A",151315,16,4,2011
